run_id,condition,guidance_window,t_start,t_end,guidance_scale,seed,n_generated,classifier_mean_confidence,classifier_mean_loss,runtime_seconds,artifact_path,timestamp
baseline_seed1,baseline,none,0,0,0.0,1,1,8.089951819556518e-08,16.33005714416504,82.04400396347046,/kaggle/working/minority-guidance/results/baseline_seed1/samples_1x256x256x3.npz,2026-03-14T18:04:58.593572+00:00
full_seed1,minority-full,full,0,1000,1.0,1,1,0.0884036272764206,2.42584228515625,94.38247656822205,/kaggle/working/minority-guidance/results/full_seed1/samples_1x256x256x3.npz,2026-03-14T18:06:37.525010+00:00
early_seed1,minority-early,early,0,333,1.0,1,1,3.072900653933175e-07,14.995473861694336,80.01122450828552,/kaggle/working/minority-guidance/results/early_seed1/samples_1x256x256x3.npz,2026-03-14T18:08:02.145212+00:00
mid_seed1,minority-mid,mid,333,667,1.0,1,1,4.1656330722616985e-06,12.388642311096191,80.26958227157593,/kaggle/working/minority-guidance/results/mid_seed1/samples_1x256x256x3.npz,2026-03-14T18:09:26.938980+00:00
late_seed1,minority-late,late,667,1000,1.0,1,1,9.049183427123353e-05,9.310251235961914,80.06847023963928,/kaggle/working/minority-guidance/results/late_seed1/samples_1x256x256x3.npz,2026-03-14T18:10:51.870237+00:00
baseline_seed2,baseline,none,0,0,0.0,2,1,2.5030110919033177e-05,10.595431327819824,74.18428134918213,/kaggle/working/minority-guidance/results/baseline_seed2/samples_1x256x256x3.npz,2026-03-14T18:12:10.758567+00:00
full_seed2,minority-full,full,0,1000,1.0,2,1,0.01367220375686884,4.2923903465271,92.2116584777832,/kaggle/working/minority-guidance/results/full_seed2/samples_1x256x256x3.npz,2026-03-14T18:13:47.561747+00:00
early_seed2,minority-early,early,0,333,1.0,2,1,0.00022002497280482203,8.421770095825195,80.41114783287048,/kaggle/working/minority-guidance/results/early_seed2/samples_1x256x256x3.npz,2026-03-14T18:15:12.865985+00:00
mid_seed2,minority-mid,mid,333,667,1.0,2,1,0.0006875064573250711,7.282439231872559,80.67418575286865,/kaggle/working/minority-guidance/results/mid_seed2/samples_1x256x256x3.npz,2026-03-14T18:16:38.125549+00:00
late_seed2,minority-late,late,667,1000,1.0,2,1,0.0003585746744647622,7.93337345123291,80.23767304420471,/kaggle/working/minority-guidance/results/late_seed2/samples_1x256x256x3.npz,2026-03-14T18:18:03.069186+00:00
baseline_seed3,baseline,none,0,0,0.0,3,1,2.481754961536353e-07,15.209129333496094,73.84109139442444,/kaggle/working/minority-guidance/results/baseline_seed3/samples_1x256x256x3.npz,2026-03-14T18:19:21.575760+00:00
full_seed3,minority-full,full,0,1000,1.0,3,1,3.3012169296853244e-05,10.318634033203125,91.57940149307251,/kaggle/working/minority-guidance/results/full_seed3/samples_1x256x256x3.npz,2026-03-14T18:20:57.661610+00:00
early_seed3,minority-early,early,0,333,1.0,3,1,7.092729106261686e-07,14.159025192260742,79.94023180007935,/kaggle/working/minority-guidance/results/early_seed3/samples_1x256x256x3.npz,2026-03-14T18:22:22.107957+00:00
mid_seed3,minority-mid,mid,333,667,1.0,3,1,1.420927310391562e-05,11.161615371704102,80.06980466842651,/kaggle/working/minority-guidance/results/mid_seed3/samples_1x256x256x3.npz,2026-03-14T18:23:46.872155+00:00
late_seed3,minority-late,late,667,1000,1.0,3,1,1.8828770862455713e-06,13.182709693908691,80.30821943283081,/kaggle/working/minority-guidance/results/late_seed3/samples_1x256x256x3.npz,2026-03-14T18:25:11.945627+00:00
baseline_seed4,baseline,none,0,0,0.0,4,1,1.2268564830719697e-07,15.913640975952148,73.66351866722107,/kaggle/working/minority-guidance/results/baseline_seed4/samples_1x256x256x3.npz,2026-03-14T18:26:30.374189+00:00
full_seed4,minority-full,full,0,1000,1.0,4,1,7.074469067447353e-06,11.859018325805664,92.07882404327393,/kaggle/working/minority-guidance/results/full_seed4/samples_1x256x256x3.npz,2026-03-14T18:28:07.114462+00:00
early_seed4,minority-early,early,0,333,1.0,4,1,1.6418135828644154e-07,15.622294425964355,80.12088918685913,/kaggle/working/minority-guidance/results/early_seed4/samples_1x256x256x3.npz,2026-03-14T18:29:31.890177+00:00
mid_seed4,minority-mid,mid,333,667,1.0,4,1,8.617553959311408e-08,16.26688003540039,80.15193128585815,/kaggle/working/minority-guidance/results/mid_seed4/samples_1x256x256x3.npz,2026-03-14T18:30:56.562456+00:00
late_seed4,minority-late,late,667,1000,1.0,4,1,1.3343755256300938e-07,15.829631805419922,79.9971091747284,/kaggle/working/minority-guidance/results/late_seed4/samples_1x256x256x3.npz,2026-03-14T18:32:21.176091+00:00
baseline_seed5,baseline,none,0,0,0.0,5,1,0.0003527094959281385,7.949865818023682,73.72771859169006,/kaggle/working/minority-guidance/results/baseline_seed5/samples_1x256x256x3.npz,2026-03-14T18:33:39.587984+00:00
full_seed5,minority-full,full,0,1000,1.0,5,1,0.018713850528001785,3.9784913063049316,91.77449440956116,/kaggle/working/minority-guidance/results/full_seed5/samples_1x256x256x3.npz,2026-03-14T18:35:15.974611+00:00
early_seed5,minority-early,early,0,333,1.0,5,1,0.0009522957843728364,6.956634998321533,80.12710356712341,/kaggle/working/minority-guidance/results/early_seed5/samples_1x256x256x3.npz,2026-03-14T18:36:40.783304+00:00
mid_seed5,minority-mid,mid,333,667,1.0,5,1,0.0016117062186822295,6.430461883544922,80.06318378448486,/kaggle/working/minority-guidance/results/mid_seed5/samples_1x256x256x3.npz,2026-03-14T18:38:05.445189+00:00
late_seed5,minority-late,late,667,1000,1.0,5,1,5.121535650687292e-05,9.879470825195312,80.0391640663147,/kaggle/working/minority-guidance/results/late_seed5/samples_1x256x256x3.npz,2026-03-14T18:39:30.204291+00:00
baseline_seed6,baseline,none,0,0,0.0,6,1,2.2029957108316012e-05,10.72310733795166,73.70994186401367,/kaggle/working/minority-guidance/results/baseline_seed6/samples_1x256x256x3.npz,2026-03-14T18:40:48.497236+00:00
full_seed6,minority-full,full,0,1000,1.0,6,1,0.006201898213475943,5.082900047302246,91.41523241996765,/kaggle/working/minority-guidance/results/full_seed6/samples_1x256x256x3.npz,2026-03-14T18:42:24.538036+00:00
early_seed6,minority-early,early,0,333,1.0,6,1,3.685671617859043e-05,10.208473205566406,80.12100338935852,/kaggle/working/minority-guidance/results/early_seed6/samples_1x256x256x3.npz,2026-03-14T18:43:49.300158+00:00
mid_seed6,minority-mid,mid,333,667,1.0,6,1,7.630621985299513e-05,9.480755805969238,80.12800073623657,/kaggle/working/minority-guidance/results/mid_seed6/samples_1x256x256x3.npz,2026-03-14T18:45:13.994620+00:00
late_seed6,minority-late,late,667,1000,1.0,6,1,0.00033509789500385523,8.00108814239502,80.01853919029236,/kaggle/working/minority-guidance/results/late_seed6/samples_1x256x256x3.npz,2026-03-14T18:46:38.598739+00:00
baseline_seed7,baseline,none,0,0,0.0,7,1,6.616695031880226e-07,14.228499412536621,73.7650580406189,/kaggle/working/minority-guidance/results/baseline_seed7/samples_1x256x256x3.npz,2026-03-14T18:47:56.960335+00:00
full_seed7,minority-full,full,0,1000,1.0,7,1,0.21080267429351807,1.5568327903747559,91.58732223510742,/kaggle/working/minority-guidance/results/full_seed7/samples_1x256x256x3.npz,2026-03-14T18:49:33.136146+00:00
early_seed7,minority-early,early,0,333,1.0,7,1,1.9972469544882188e-06,13.123741149902344,80.07944750785828,/kaggle/working/minority-guidance/results/early_seed7/samples_1x256x256x3.npz,2026-03-14T18:50:57.795648+00:00
mid_seed7,minority-mid,mid,333,667,1.0,7,1,0.0005425139097496867,7.519296646118164,80.10225129127502,/kaggle/working/minority-guidance/results/mid_seed7/samples_1x256x256x3.npz,2026-03-14T18:52:22.512319+00:00
late_seed7,minority-late,late,667,1000,1.0,7,1,0.05393596738576889,2.9199576377868652,79.94816851615906,/kaggle/working/minority-guidance/results/late_seed7/samples_1x256x256x3.npz,2026-03-14T18:53:47.062435+00:00
baseline_seed8,baseline,none,0,0,0.0,8,1,3.7338302263378864e-06,12.498075485229492,73.75955414772034,/kaggle/working/minority-guidance/results/baseline_seed8/samples_1x256x256x3.npz,2026-03-14T18:55:05.450209+00:00
full_seed8,minority-full,full,0,1000,1.0,8,1,0.0029285273049026728,5.833255767822266,91.56238150596619,/kaggle/working/minority-guidance/results/full_seed8/samples_1x256x256x3.npz,2026-03-14T18:56:41.597844+00:00
early_seed8,minority-early,early,0,333,1.0,8,1,1.9629971575341187e-05,10.83845329284668,80.15818333625793,/kaggle/working/minority-guidance/results/early_seed8/samples_1x256x256x3.npz,2026-03-14T18:58:06.332163+00:00
mid_seed8,minority-mid,mid,333,667,1.0,8,1,0.0002166235790355131,8.437349319458008,80.06617045402527,/kaggle/working/minority-guidance/results/mid_seed8/samples_1x256x256x3.npz,2026-03-14T18:59:30.934446+00:00
late_seed8,minority-late,late,667,1000,1.0,8,1,0.0004485075769480318,7.709585189819336,79.94089913368225,/kaggle/working/minority-guidance/results/late_seed8/samples_1x256x256x3.npz,2026-03-14T19:00:55.408207+00:00
baseline_seed9,baseline,none,0,0,0.0,9,1,0.0072280727326869965,4.929782867431641,73.77068448066711,/kaggle/working/minority-guidance/results/baseline_seed9/samples_1x256x256x3.npz,2026-03-14T19:02:13.758170+00:00
full_seed9,minority-full,full,0,1000,1.0,9,1,0.0021684234961867332,6.133754730224609,91.36954355239868,/kaggle/working/minority-guidance/results/full_seed9/samples_1x256x256x3.npz,2026-03-14T19:03:49.747688+00:00
early_seed9,minority-early,early,0,333,1.0,9,1,0.03003210388123989,3.505488395690918,80.00444149971008,/kaggle/working/minority-guidance/results/early_seed9/samples_1x256x256x3.npz,2026-03-14T19:05:14.268032+00:00
mid_seed9,minority-mid,mid,333,667,1.0,9,1,0.05981501191854477,2.8164987564086914,80.16021084785461,/kaggle/working/minority-guidance/results/mid_seed9/samples_1x256x256x3.npz,2026-03-14T19:06:39.179866+00:00
late_seed9,minority-late,late,667,1000,1.0,9,1,2.0097439119126648e-05,10.814918518066406,80.51160144805908,/kaggle/working/minority-guidance/results/late_seed9/samples_1x256x256x3.npz,2026-03-14T19:08:04.415857+00:00
baseline_seed10,baseline,none,0,0,0.0,10,1,3.590973574318923e-05,10.234501838684082,73.99396586418152,/kaggle/working/minority-guidance/results/baseline_seed10/samples_1x256x256x3.npz,2026-03-14T19:09:23.009416+00:00
full_seed10,minority-full,full,0,1000,1.0,10,1,0.8500800132751465,0.16242483258247375,91.6999294757843,/kaggle/working/minority-guidance/results/full_seed10/samples_1x256x256x3.npz,2026-03-14T19:10:59.375861+00:00
early_seed10,minority-early,early,0,333,1.0,10,1,0.00010810073581524193,9.132447242736816,80.0355179309845,/kaggle/working/minority-guidance/results/early_seed10/samples_1x256x256x3.npz,2026-03-14T19:12:23.952810+00:00
mid_seed10,minority-mid,mid,333,667,1.0,10,1,0.004596174228936434,5.38253116607666,80.21039462089539,/kaggle/working/minority-guidance/results/mid_seed10/samples_1x256x256x3.npz,2026-03-14T19:13:48.914631+00:00
late_seed10,minority-late,late,667,1000,1.0,10,1,0.008847299963235855,4.727643013000488,80.23683285713196,/kaggle/working/minority-guidance/results/late_seed10/samples_1x256x256x3.npz,2026-03-14T19:15:13.854836+00:00
baseline_seed11,baseline,none,0,0,0.0,11,1,1.0648017223502393e-06,13.752721786499023,73.91134929656982,/kaggle/working/minority-guidance/results/baseline_seed11/samples_1x256x256x3.npz,2026-03-14T19:16:32.436235+00:00
full_seed11,minority-full,full,0,1000,1.0,11,1,2.183552351198159e-05,10.731972694396973,92.23857235908508,/kaggle/working/minority-guidance/results/full_seed11/samples_1x256x256x3.npz,2026-03-14T19:18:09.575891+00:00
early_seed11,minority-early,early,0,333,1.0,11,1,1.6110408296299283e-06,13.338629722595215,80.28202223777771,/kaggle/working/minority-guidance/results/early_seed11/samples_1x256x256x3.npz,2026-03-14T19:19:34.551328+00:00
mid_seed11,minority-mid,mid,333,667,1.0,11,1,1.1226982223888626e-06,13.699775695800781,80.46444582939148,/kaggle/working/minority-guidance/results/mid_seed11/samples_1x256x256x3.npz,2026-03-14T19:20:59.755179+00:00
late_seed11,minority-late,late,667,1000,1.0,11,1,9.571692316967528e-06,11.556700706481934,80.024001121521,/kaggle/working/minority-guidance/results/late_seed11/samples_1x256x256x3.npz,2026-03-14T19:22:24.377557+00:00
baseline_seed12,baseline,none,0,0,0.0,12,1,1.0466297908351407e-06,13.769935607910156,73.64878940582275,/kaggle/working/minority-guidance/results/baseline_seed12/samples_1x256x256x3.npz,2026-03-14T19:23:42.648238+00:00
full_seed12,minority-full,full,0,1000,1.0,12,1,2.2470719613920664e-06,13.005882263183594,91.755291223526,/kaggle/working/minority-guidance/results/full_seed12/samples_1x256x256x3.npz,2026-03-14T19:25:18.987034+00:00
early_seed12,minority-early,early,0,333,1.0,12,1,1.1739848559955135e-06,13.655106544494629,80.0535945892334,/kaggle/working/minority-guidance/results/early_seed12/samples_1x256x256x3.npz,2026-03-14T19:26:43.598260+00:00
mid_seed12,minority-mid,mid,333,667,1.0,12,1,5.566263325817999e-07,14.401371955871582,80.15091371536255,/kaggle/working/minority-guidance/results/mid_seed12/samples_1x256x256x3.npz,2026-03-14T19:28:08.446542+00:00
late_seed12,minority-late,late,667,1000,1.0,12,1,3.97844459598673e-08,17.0397891998291,80.22721552848816,/kaggle/working/minority-guidance/results/late_seed12/samples_1x256x256x3.npz,2026-03-14T19:29:33.219157+00:00
baseline_seed13,baseline,none,0,0,0.0,13,1,3.028570745300385e-07,15.010004997253418,73.715576171875,/kaggle/working/minority-guidance/results/baseline_seed13/samples_1x256x256x3.npz,2026-03-14T19:30:51.673262+00:00
full_seed13,minority-full,full,0,1000,1.0,13,1,6.0138513617857825e-06,12.021445274353027,91.86791443824768,/kaggle/working/minority-guidance/results/full_seed13/samples_1x256x256x3.npz,2026-03-14T19:32:28.128131+00:00
early_seed13,minority-early,early,0,333,1.0,13,1,3.8895035459063365e-07,14.759814262390137,80.0372679233551,/kaggle/working/minority-guidance/results/early_seed13/samples_1x256x256x3.npz,2026-03-14T19:33:52.799076+00:00
mid_seed13,minority-mid,mid,333,667,1.0,13,1,1.854778383858502e-05,10.895160675048828,80.19107842445374,/kaggle/working/minority-guidance/results/mid_seed13/samples_1x256x256x3.npz,2026-03-14T19:35:17.563616+00:00
late_seed13,minority-late,late,667,1000,1.0,13,1,5.12023689225316e-07,14.484894752502441,79.89120435714722,/kaggle/working/minority-guidance/results/late_seed13/samples_1x256x256x3.npz,2026-03-14T19:36:42.028672+00:00
baseline_seed14,baseline,none,0,0,0.0,14,1,0.00047870329581201077,7.644429683685303,73.63130474090576,/kaggle/working/minority-guidance/results/baseline_seed14/samples_1x256x256x3.npz,2026-03-14T19:38:00.219759+00:00
full_seed14,minority-full,full,0,1000,1.0,14,1,0.00041367716039530933,7.790424346923828,91.37799048423767,/kaggle/working/minority-guidance/results/full_seed14/samples_1x256x256x3.npz,2026-03-14T19:39:36.116188+00:00
early_seed14,minority-early,early,0,333,1.0,14,1,0.004100419580936432,5.496665954589844,80.22723150253296,/kaggle/working/minority-guidance/results/early_seed14/samples_1x256x256x3.npz,2026-03-14T19:41:01.215615+00:00
mid_seed14,minority-mid,mid,333,667,1.0,14,1,0.0003034452092833817,8.100309371948242,80.47622466087341,/kaggle/working/minority-guidance/results/mid_seed14/samples_1x256x256x3.npz,2026-03-14T19:42:26.345800+00:00
late_seed14,minority-late,late,667,1000,1.0,14,1,1.5431516658281907e-05,11.07909870147705,80.19809150695801,/kaggle/working/minority-guidance/results/late_seed14/samples_1x256x256x3.npz,2026-03-14T19:43:51.181920+00:00
baseline_seed15,baseline,none,0,0,0.0,15,1,1.5987702681741212e-06,13.346275329589844,73.70431280136108,/kaggle/working/minority-guidance/results/baseline_seed15/samples_1x256x256x3.npz,2026-03-14T19:45:09.596001+00:00
full_seed15,minority-full,full,0,1000,1.0,15,1,0.0032831800635904074,5.718942642211914,92.06354141235352,/kaggle/working/minority-guidance/results/full_seed15/samples_1x256x256x3.npz,2026-03-14T19:46:46.490440+00:00
early_seed15,minority-early,early,0,333,1.0,15,1,1.8079190340358764e-06,13.223334312438965,80.51557421684265,/kaggle/working/minority-guidance/results/early_seed15/samples_1x256x256x3.npz,2026-03-14T19:48:11.854967+00:00
mid_seed15,minority-mid,mid,333,667,1.0,15,1,0.00012214964954182506,9.010263442993164,80.25115823745728,/kaggle/working/minority-guidance/results/mid_seed15/samples_1x256x256x3.npz,2026-03-14T19:49:36.773281+00:00
late_seed15,minority-late,late,667,1000,1.0,15,1,4.9574846343602985e-06,12.214612007141113,80.25375509262085,/kaggle/working/minority-guidance/results/late_seed15/samples_1x256x256x3.npz,2026-03-14T19:51:01.687403+00:00
baseline_seed16,baseline,none,0,0,0.0,16,1,8.778678761700576e-07,13.945770263671875,73.83306241035461,/kaggle/working/minority-guidance/results/baseline_seed16/samples_1x256x256x3.npz,2026-03-14T19:52:20.169689+00:00
full_seed16,minority-full,full,0,1000,1.0,16,1,1.1736920896510128e-05,11.352770805358887,91.77414155006409,/kaggle/working/minority-guidance/results/full_seed16/samples_1x256x256x3.npz,2026-03-14T19:53:56.642966+00:00
early_seed16,minority-early,early,0,333,1.0,16,1,1.337193907602341e-06,13.52493667602539,80.10778093338013,/kaggle/working/minority-guidance/results/early_seed16/samples_1x256x256x3.npz,2026-03-14T19:55:21.257445+00:00
mid_seed16,minority-mid,mid,333,667,1.0,16,1,6.7492760535969865e-06,11.906075477600098,79.9163327217102,/kaggle/working/minority-guidance/results/mid_seed16/samples_1x256x256x3.npz,2026-03-14T19:56:45.779042+00:00
late_seed16,minority-late,late,667,1000,1.0,16,1,7.724484021309763e-07,14.073700904846191,80.1438319683075,/kaggle/working/minority-guidance/results/late_seed16/samples_1x256x256x3.npz,2026-03-14T19:58:10.584557+00:00
baseline_seed17,baseline,none,0,0,0.0,17,1,4.305592028686078e-06,12.355595588684082,73.73778867721558,/kaggle/working/minority-guidance/results/baseline_seed17/samples_1x256x256x3.npz,2026-03-14T19:59:28.895545+00:00
full_seed17,minority-full,full,0,1000,1.0,17,1,3.532406481099315e-05,10.250946044921875,91.77396488189697,/kaggle/working/minority-guidance/results/full_seed17/samples_1x256x256x3.npz,2026-03-14T20:01:05.298057+00:00
early_seed17,minority-early,early,0,333,1.0,17,1,4.854863163927803e-06,12.235529899597168,80.17462253570557,/kaggle/working/minority-guidance/results/early_seed17/samples_1x256x256x3.npz,2026-03-14T20:02:30.089207+00:00
mid_seed17,minority-mid,mid,333,667,1.0,17,1,3.1552128803014057e-06,12.666454315185547,80.17903995513916,/kaggle/working/minority-guidance/results/mid_seed17/samples_1x256x256x3.npz,2026-03-14T20:03:54.938778+00:00
late_seed17,minority-late,late,667,1000,1.0,17,1,2.6378495476819808e-06,12.84554672241211,80.08290314674377,/kaggle/working/minority-guidance/results/late_seed17/samples_1x256x256x3.npz,2026-03-14T20:05:19.638388+00:00
baseline_seed18,baseline,none,0,0,0.0,18,1,2.618184225866571e-05,10.550444602966309,73.72824668884277,/kaggle/working/minority-guidance/results/baseline_seed18/samples_1x256x256x3.npz,2026-03-14T20:06:38.006407+00:00
full_seed18,minority-full,full,0,1000,1.0,18,1,4.64728545921389e-05,9.976642608642578,91.80138611793518,/kaggle/working/minority-guidance/results/full_seed18/samples_1x256x256x3.npz,2026-03-14T20:08:14.454652+00:00
early_seed18,minority-early,early,0,333,1.0,18,1,0.00010976666817441583,9.11715316772461,80.14617967605591,/kaggle/working/minority-guidance/results/early_seed18/samples_1x256x256x3.npz,2026-03-14T20:09:39.303319+00:00
mid_seed18,minority-mid,mid,333,667,1.0,18,1,0.002405821345746517,6.0298638343811035,80.22838830947876,/kaggle/working/minority-guidance/results/mid_seed18/samples_1x256x256x3.npz,2026-03-14T20:11:04.145694+00:00
late_seed18,minority-late,late,667,1000,1.0,18,1,1.937414026542683e-06,13.154156684875488,80.04810070991516,/kaggle/working/minority-guidance/results/late_seed18/samples_1x256x256x3.npz,2026-03-14T20:12:28.791464+00:00
baseline_seed19,baseline,none,0,0,0.0,19,1,5.004187187296338e-06,12.205235481262207,73.88494324684143,/kaggle/working/minority-guidance/results/baseline_seed19/samples_1x256x256x3.npz,2026-03-14T20:13:47.268562+00:00
full_seed19,minority-full,full,0,1000,1.0,19,1,0.000763868389185518,7.177115440368652,91.64556860923767,/kaggle/working/minority-guidance/results/full_seed19/samples_1x256x256x3.npz,2026-03-14T20:15:23.468441+00:00
early_seed19,minority-early,early,0,333,1.0,19,1,7.597411695314804e-06,11.787702560424805,80.14504742622375,/kaggle/working/minority-guidance/results/early_seed19/samples_1x256x256x3.npz,2026-03-14T20:16:48.127367+00:00
mid_seed19,minority-mid,mid,333,667,1.0,19,1,0.002014764118939638,6.207253456115723,80.17263102531433,/kaggle/working/minority-guidance/results/mid_seed19/samples_1x256x256x3.npz,2026-03-14T20:18:12.946286+00:00
