run_id,condition,guidance_window,t_start,t_end,guidance_scale,seed,n_generated,classifier_mean_confidence,classifier_mean_loss,runtime_seconds,artifact_path,timestamp
baseline_seed51,baseline,none,0,0,0.0,51,1,3.952398856199579e-06,12.441187858581543,75.23714828491211,/kaggle/working/minority-guidance/results/baseline_seed51/samples_1x256x256x3.npz,2026-05-24T08:34:57.663738+00:00
full_seed51,minority-full,full,0,1000,3.5,51,1,0.9566989541053772,0.04426652565598488,94.67770624160767,/kaggle/working/minority-guidance/results/full_seed51/samples_1x256x256x3.npz,2026-05-24T08:36:36.965649+00:00
early_seed51,minority-early,early,0,333,3.5,51,1,9.836446224653628e-06,11.52941608428955,80.9748923778534,/kaggle/working/minority-guidance/results/early_seed51/samples_1x256x256x3.npz,2026-05-24T08:38:02.533432+00:00
mid_seed51,minority-mid,mid,333,667,3.5,51,1,0.017411019653081894,4.050652027130127,81.02459597587585,/kaggle/working/minority-guidance/results/mid_seed51/samples_1x256x256x3.npz,2026-05-24T08:39:28.277684+00:00
late_seed51,minority-late,late,667,1000,3.5,51,1,0.1293078362941742,2.0455594062805176,81.01429915428162,/kaggle/working/minority-guidance/results/late_seed51/samples_1x256x256x3.npz,2026-05-24T08:40:53.898100+00:00
baseline_seed52,baseline,none,0,0,0.0,52,1,7.755690489830158e-07,14.069668769836426,74.59540963172913,/kaggle/working/minority-guidance/results/baseline_seed52/samples_1x256x256x3.npz,2026-05-24T08:42:13.224257+00:00
full_seed52,minority-full,full,0,1000,3.5,52,1,0.3145920932292938,1.1564784049987793,92.76435327529907,/kaggle/working/minority-guidance/results/full_seed52/samples_1x256x256x3.npz,2026-05-24T08:43:50.587535+00:00
early_seed52,minority-early,early,0,333,3.5,52,1,2.6527046429691836e-05,10.537345886230469,81.01912117004395,/kaggle/working/minority-guidance/results/early_seed52/samples_1x256x256x3.npz,2026-05-24T08:45:16.237721+00:00
mid_seed52,minority-mid,mid,333,667,3.5,52,1,0.7605278491973877,0.27374252676963806,81.15163898468018,/kaggle/working/minority-guidance/results/mid_seed52/samples_1x256x256x3.npz,2026-05-24T08:46:42.094515+00:00
late_seed52,minority-late,late,667,1000,3.5,52,1,1.441983476979658e-05,11.146905899047852,81.29847073554993,/kaggle/working/minority-guidance/results/late_seed52/samples_1x256x256x3.npz,2026-05-24T08:48:08.237106+00:00
baseline_seed53,baseline,none,0,0,0.0,53,1,1.763549732913816e-07,15.550766944885254,74.92157673835754,/kaggle/working/minority-guidance/results/baseline_seed53/samples_1x256x256x3.npz,2026-05-24T08:49:27.932889+00:00
full_seed53,minority-full,full,0,1000,3.5,53,1,0.7745378613471985,0.255488783121109,92.75807452201843,/kaggle/working/minority-guidance/results/full_seed53/samples_1x256x256x3.npz,2026-05-24T08:51:05.369909+00:00
early_seed53,minority-early,early,0,333,3.5,53,1,2.8847492217209947e-07,15.0586576461792,81.27892637252808,/kaggle/working/minority-guidance/results/early_seed53/samples_1x256x256x3.npz,2026-05-24T08:52:31.327592+00:00
mid_seed53,minority-mid,mid,333,667,3.5,53,1,3.103570406892686e-06,12.682957649230957,81.4230751991272,/kaggle/working/minority-guidance/results/mid_seed53/samples_1x256x256x3.npz,2026-05-24T08:53:57.768992+00:00
late_seed53,minority-late,late,667,1000,3.5,53,1,0.00014964528963901103,8.807243347167969,81.34520983695984,/kaggle/working/minority-guidance/results/late_seed53/samples_1x256x256x3.npz,2026-05-24T08:55:23.772118+00:00
baseline_seed54,baseline,none,0,0,0.0,54,1,2.1847073128355987e-07,15.336613655090332,74.86964774131775,/kaggle/working/minority-guidance/results/baseline_seed54/samples_1x256x256x3.npz,2026-05-24T08:56:43.431550+00:00
full_seed54,minority-full,full,0,1000,3.5,54,1,0.18177108466625214,1.7050071954727173,92.98573684692383,/kaggle/working/minority-guidance/results/full_seed54/samples_1x256x256x3.npz,2026-05-24T08:58:21.202360+00:00
early_seed54,minority-early,early,0,333,3.5,54,1,3.6746337173099164e-07,14.816642761230469,81.41291999816895,/kaggle/working/minority-guidance/results/early_seed54/samples_1x256x256x3.npz,2026-05-24T08:59:47.515571+00:00
mid_seed54,minority-mid,mid,333,667,3.5,54,1,0.02252170443534851,3.793275833129883,81.3673415184021,/kaggle/working/minority-guidance/results/mid_seed54/samples_1x256x256x3.npz,2026-05-24T09:01:13.530869+00:00
late_seed54,minority-late,late,667,1000,3.5,54,1,0.008564436808228493,4.760136604309082,81.20653295516968,/kaggle/working/minority-guidance/results/late_seed54/samples_1x256x256x3.npz,2026-05-24T09:02:39.395778+00:00
baseline_seed55,baseline,none,0,0,0.0,55,1,0.0033935236278921366,5.685886383056641,74.78758430480957,/kaggle/working/minority-guidance/results/baseline_seed55/samples_1x256x256x3.npz,2026-05-24T09:03:58.848927+00:00
full_seed55,minority-full,full,0,1000,3.5,55,1,0.020675374194979668,3.878811836242676,92.93605327606201,/kaggle/working/minority-guidance/results/full_seed55/samples_1x256x256x3.npz,2026-05-24T09:05:36.559046+00:00
early_seed55,minority-early,early,0,333,3.5,55,1,0.053863633424043655,2.921299695968628,81.48701786994934,/kaggle/working/minority-guidance/results/early_seed55/samples_1x256x256x3.npz,2026-05-24T09:07:02.709102+00:00
mid_seed55,minority-mid,mid,333,667,3.5,55,1,0.19167113304138184,1.6519742012023926,81.47347712516785,/kaggle/working/minority-guidance/results/mid_seed55/samples_1x256x256x3.npz,2026-05-24T09:08:28.995317+00:00
