run_id,condition,guidance_window,t_start,t_end,guidance_scale,seed,n_generated,classifier_mean_confidence,classifier_mean_loss,runtime_seconds,artifact_path,timestamp
baseline_seed1,baseline,none,0,0,0.0,1,1,8.089966030411233e-08,16.330055236816406,75.47817182540894,/kaggle/working/minority-guidance/results/baseline_seed1/samples_1x256x256x3.npz,2026-05-24T08:33:52.138477+00:00
full_seed1,minority-full,full,0,1000,3.5,1,1,0.6856619715690613,0.37737053632736206,95.75670981407166,/kaggle/working/minority-guidance/results/full_seed1/samples_1x256x256x3.npz,2026-05-24T08:35:32.661597+00:00
slide_0_seed1,slide_0,slide_0,0,250,3.5,1,1,4.4414231524569914e-05,10.021950721740723,80.65166163444519,/kaggle/working/minority-guidance/results/slide_0_seed1/samples_1x256x256x3.npz,2026-05-24T08:36:58.128331+00:00
slide_1_seed1,slide_1,slide_1,125,375,3.5,1,1,0.011909904889762402,4.430384635925293,80.77104568481445,/kaggle/working/minority-guidance/results/slide_1_seed1/samples_1x256x256x3.npz,2026-05-24T08:38:23.617214+00:00
slide_2_seed1,slide_2,slide_2,250,500,3.5,1,1,0.00475117564201355,5.349363327026367,80.61146688461304,/kaggle/working/minority-guidance/results/slide_2_seed1/samples_1x256x256x3.npz,2026-05-24T08:39:48.975937+00:00
slide_3_seed1,slide_3,slide_3,375,625,3.5,1,1,0.0008127455948852003,7.1150922775268555,80.42399263381958,/kaggle/working/minority-guidance/results/slide_3_seed1/samples_1x256x256x3.npz,2026-05-24T08:41:14.098920+00:00
slide_4_seed1,slide_4,slide_4,500,750,3.5,1,1,0.10158593207597733,2.2868502140045166,80.38183546066284,/kaggle/working/minority-guidance/results/slide_4_seed1/samples_1x256x256x3.npz,2026-05-24T08:42:39.345899+00:00
slide_5_seed1,slide_5,slide_5,625,875,3.5,1,1,0.03854724392294884,3.255870819091797,80.66435360908508,/kaggle/working/minority-guidance/results/slide_5_seed1/samples_1x256x256x3.npz,2026-05-24T08:44:04.839075+00:00
slide_6_seed1,slide_6,slide_6,750,1000,3.5,1,1,0.03209318593144417,3.4391117095947266,81.07298445701599,/kaggle/working/minority-guidance/results/slide_6_seed1/samples_1x256x256x3.npz,2026-05-24T08:45:30.720895+00:00
baseline_seed2,baseline,none,0,0,0.0,2,1,2.50300709012663e-05,10.59543228149414,75.72668981552124,/kaggle/working/minority-guidance/results/baseline_seed2/samples_1x256x256x3.npz,2026-05-24T08:46:51.179632+00:00
full_seed2,minority-full,full,0,1000,3.5,2,1,0.6228020191192627,0.47352662682533264,94.23934483528137,/kaggle/working/minority-guidance/results/full_seed2/samples_1x256x256x3.npz,2026-05-24T08:48:30.281220+00:00
slide_0_seed2,slide_0,slide_0,0,250,3.5,2,1,0.0011728309327736497,6.748334884643555,80.93291163444519,/kaggle/working/minority-guidance/results/slide_0_seed2/samples_1x256x256x3.npz,2026-05-24T08:49:56.099045+00:00
slide_1_seed2,slide_1,slide_1,125,375,3.5,2,1,0.02076754719018936,3.874363899230957,80.75040435791016,/kaggle/working/minority-guidance/results/slide_1_seed2/samples_1x256x256x3.npz,2026-05-24T08:51:21.600118+00:00
slide_2_seed2,slide_2,slide_2,250,500,3.5,2,1,0.01076871994882822,4.531109809875488,80.68198275566101,/kaggle/working/minority-guidance/results/slide_2_seed2/samples_1x256x256x3.npz,2026-05-24T08:52:47.183111+00:00
slide_3_seed2,slide_3,slide_3,375,625,3.5,2,1,0.019590960815548897,3.9326870441436768,81.0280511379242,/kaggle/working/minority-guidance/results/slide_3_seed2/samples_1x256x256x3.npz,2026-05-24T08:54:12.927074+00:00
slide_4_seed2,slide_4,slide_4,500,750,3.5,2,1,0.5915424227714539,0.5250219106674194,80.87556910514832,/kaggle/working/minority-guidance/results/slide_4_seed2/samples_1x256x256x3.npz,2026-05-24T08:55:38.602566+00:00
slide_5_seed2,slide_5,slide_5,625,875,3.5,2,1,0.15431778132915497,1.8687412738800049,80.6878981590271,/kaggle/working/minority-guidance/results/slide_5_seed2/samples_1x256x256x3.npz,2026-05-24T08:57:04.117942+00:00
